=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
[I 2026-05-28 17:21:43,862] Trial 15 finished with value: 0.9436073952579405 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'single_3', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5156798262776084, 'activation': 'silu', 'lr': 0.00018488653031647112}. Best is trial 15 with value: 0.9436073952579405.
Epoch 1, Val loss: 0.5818, Val F1: 0.7996
Epoch 2, Val loss: 0.4498, Val F1: 0.8379
Epoch 3, Val loss: 0.4123, Val F1: 0.8518
Epoch 4, Val loss: 0.3368, Val F1: 0.8781
Epoch 5, Val loss: 0.3549, Val F1: 0.8782
Epoch 6, Val loss: 0.2884, Val F1: 0.8968
Epoch 7, Val loss: 0.3186, Val F1: 0.8859
Epoch 8, Val loss: 0.2656, Val F1: 0.9091
Epoch 9, Val loss: 0.2829, Val F1: 0.8996
Epoch 10, Val loss: 0.2338, Val F1: 0.9250
Epoch 11, Val loss: 0.2503, Val F1: 0.9116
Epoch 12, Val loss: 0.2559, Val F1: 0.9151
Epoch 13, Val loss: 0.2560, Val F1: 0.9140
Epoch 14, Val loss: 0.2199, Val F1: 0.9279
Epoch 15, Val loss: 0.1906, Val F1: 0.9425
Epoch 16, Val loss: 0.2096, Val F1: 0.9252
Epoch 17, Val loss: 0.1674, Val F1: 0.9456
Epoch 18, Val loss: 0.2916, Val F1: 0.9094
Epoch 19, Val loss: 0.2892, Val F1: 0.9116
Epoch 20, Val loss: 0.2340, Val F1: 0.9302
Epoch 21, Val loss: 0.1860, Val F1: 0.9423
Epoch 22, Val loss: 0.3080, Val F1: 0.9056
