=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
[I 2026-05-31 15:26:25,975] Trial 6 finished with value: 0.9613845204435403 and parameters: {'n_conv_blocks': 2, 'base_channels': 128, 'kernels_block_0': 'multi_3_5_7_9', 'kernels_block_1': 'multi_3_5', 'n_fc_layers': 3, 'fc_hidden': 1024, 'dropout': 0.43122153867331287, 'activation': 'relu', 'lr': 0.00018224528038240725}. Best is trial 3 with value: 0.9642786120252798.
Epoch 1, Val loss: 0.4875, Val F1: 0.8304
Epoch 2, Val loss: 0.3755, Val F1: 0.8701
Epoch 3, Val loss: 0.2189, Val F1: 0.9273
Epoch 4, Val loss: 0.1922, Val F1: 0.9374
Epoch 5, Val loss: 0.2028, Val F1: 0.9343
Epoch 6, Val loss: 0.2498, Val F1: 0.9216
Epoch 7, Val loss: 0.2046, Val F1: 0.9364
Epoch 8, Val loss: 0.1733, Val F1: 0.9423
Epoch 9, Val loss: 0.1669, Val F1: 0.9444
Epoch 10, Val loss: 0.1664, Val F1: 0.9472
Epoch 11, Val loss: 0.1857, Val F1: 0.9446
Epoch 12, Val loss: 0.1457, Val F1: 0.9566
Epoch 13, Val loss: 0.1447, Val F1: 0.9559
Epoch 14, Val loss: 0.1283, Val F1: 0.9617
Epoch 15, Val loss: 0.1376, Val F1: 0.9627
Epoch 16, Val loss: 0.1491, Val F1: 0.9521
Epoch 17, Val loss: 0.1424, Val F1: 0.9573
Epoch 18, Val loss: 0.1714, Val F1: 0.9560
Epoch 19, Val loss: 0.1358, Val F1: 0.9592
Epoch 20, Val loss: 0.1353, Val F1: 0.9623
[I 2026-05-31 15:27:21,587] Trial 7 finished with value: 0.9626855658593663 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_5_7_9', 'n_fc_layers': 4, 'fc_hidden': 128, 'dropout': 0.24307339028444017, 'activation': 'gelu', 'lr': 0.00021469845393394212}. Best is trial 3 with value: 0.9642786120252798.
Epoch 1, Val loss: 1.1121, Val F1: 0.5321
[I 2026-05-31 15:27:24,447] Trial 8 pruned. 
Epoch 1, Val loss: 2.1188, Val F1: 0.0799
[I 2026-05-31 15:27:31,150] Trial 9 pruned. 
Epoch 1, Val loss: 0.4391, Val F1: 0.8359
Epoch 2, Val loss: 0.2655, Val F1: 0.9111
Epoch 3, Val loss: 0.2289, Val F1: 0.9199
Epoch 4, Val loss: 0.2530, Val F1: 0.9115
Epoch 5, Val loss: 0.1766, Val F1: 0.9372
Epoch 6, Val loss: 0.1728, Val F1: 0.9395
Epoch 7, Val loss: 0.1968, Val F1: 0.9327
Epoch 8, Val loss: 0.1468, Val F1: 0.9505
Epoch 9, Val loss: 0.1573, Val F1: 0.9466
Epoch 10, Val loss: 0.1233, Val F1: 0.9604
Epoch 11, Val loss: 0.1241, Val F1: 0.9588
Epoch 12, Val loss: 0.1434, Val F1: 0.9509
Epoch 13, Val loss: 0.1520, Val F1: 0.9551
Epoch 14, Val loss: 0.1308, Val F1: 0.9617
Epoch 15, Val loss: 0.1034, Val F1: 0.9711
Epoch 16, Val loss: 0.1312, Val F1: 0.9546
Epoch 17, Val loss: 0.1086, Val F1: 0.9632
Epoch 18, Val loss: 0.1105, Val F1: 0.9667
Epoch 19, Val loss: 0.1387, Val F1: 0.9570
Epoch 20, Val loss: 0.1198, Val F1: 0.9614
