=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
Epoch 15, Val loss: 0.2526, Val F1: 0.9120
Epoch 16, Val loss: 0.2589, Val F1: 0.9085
Epoch 17, Val loss: 0.2755, Val F1: 0.9038
Epoch 18, Val loss: 0.2869, Val F1: 0.9064
[I 2026-05-27 02:03:49,437] Trial 17 finished with value: 0.9139093566125245 and parameters: {'n_conv_blocks': 4, 'base_channels': 16, 'fc_hidden': 256, 'dropout': 0.4403444824594558, 'activation': 'gelu', 'lr': 0.0001804326562094275}. Best is trial 4 with value: 0.9366598830006755.
Epoch 1, Val loss: 1.5919, Val F1: 0.2854
[I 2026-05-27 02:03:51,331] Trial 18 pruned. 
Epoch 1, Val loss: 0.9367, Val F1: 0.6681
Epoch 2, Val loss: 0.7566, Val F1: 0.7397
Epoch 3, Val loss: 0.4006, Val F1: 0.8591
Epoch 4, Val loss: 0.7204, Val F1: 0.7479
Epoch 5, Val loss: 0.4772, Val F1: 0.8258
Epoch 6, Val loss: 0.4007, Val F1: 0.8449
Epoch 7, Val loss: 0.3303, Val F1: 0.8799
Epoch 8, Val loss: 0.3530, Val F1: 0.8852
[I 2026-05-27 02:04:05,661] Trial 19 pruned. 
Epoch 1, Val loss: 0.7321, Val F1: 0.7168
Epoch 2, Val loss: 0.4460, Val F1: 0.8391
Epoch 3, Val loss: 0.3582, Val F1: 0.8799
Epoch 4, Val loss: 0.3808, Val F1: 0.8518
Epoch 5, Val loss: 0.2538, Val F1: 0.9069
Epoch 6, Val loss: 0.2636, Val F1: 0.9016
Epoch 7, Val loss: 0.4928, Val F1: 0.8433
Epoch 8, Val loss: 0.7149, Val F1: 0.7759
Epoch 9, Val loss: 0.3776, Val F1: 0.8702
Epoch 10, Val loss: 0.2137, Val F1: 0.9306
Epoch 11, Val loss: 0.2021, Val F1: 0.9350
Epoch 12, Val loss: 0.2386, Val F1: 0.9196
Epoch 13, Val loss: 0.4109, Val F1: 0.8728
Epoch 14, Val loss: 0.1912, Val F1: 0.9323
Epoch 15, Val loss: 0.1842, Val F1: 0.9387
Epoch 16, Val loss: 0.2304, Val F1: 0.9228
Epoch 17, Val loss: 0.1911, Val F1: 0.9404
Epoch 18, Val loss: 0.6039, Val F1: 0.8402
Epoch 19, Val loss: 0.3023, Val F1: 0.9104
Epoch 20, Val loss: 0.2063, Val F1: 0.9377
Epoch 21, Val loss: 0.1779, Val F1: 0.9464
Epoch 22, Val loss: 0.2000, Val F1: 0.9405
Epoch 23, Val loss: 0.2179, Val F1: 0.9318
Epoch 24, Val loss: 0.2093, Val F1: 0.9359
Epoch 25, Val loss: 0.2576, Val F1: 0.9233
Epoch 26, Val loss: 0.2684, Val F1: 0.9267
[I 2026-05-27 02:04:54,623] Trial 20 finished with value: 0.9463790633679082 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.3729773055414804, 'activation': 'gelu', 'lr': 0.00026987051037808275}. Best is trial 20 with value: 0.9463790633679082.
Epoch 1, Val loss: 0.5486, Val F1: 0.8013
Epoch 2, Val loss: 0.4118, Val F1: 0.8598
Epoch 3, Val loss: 0.3819, Val F1: 0.8626
Epoch 4, Val loss: 0.3815, Val F1: 0.8752
Epoch 5, Val loss: 0.2738, Val F1: 0.9061
Epoch 6, Val loss: 0.3214, Val F1: 0.8883
Epoch 7, Val loss: 0.4623, Val F1: 0.8401
Epoch 8, Val loss: 0.3006, Val F1: 0.8940
Epoch 9, Val loss: 0.2193, Val F1: 0.9191
Epoch 10, Val loss: 0.2338, Val F1: 0.9190
Epoch 11, Val loss: 0.3275, Val F1: 0.8974
Epoch 12, Val loss: 0.2584, Val F1: 0.9111
Epoch 13, Val loss: 0.2178, Val F1: 0.9291
Epoch 14, Val loss: 0.2328, Val F1: 0.9271
Epoch 15, Val loss: 0.2473, Val F1: 0.9216
Epoch 16, Val loss: 0.1760, Val F1: 0.9433
Epoch 17, Val loss: 0.2361, Val F1: 0.9208
Epoch 18, Val loss: 0.2109, Val F1: 0.9330
Epoch 19, Val loss: 0.2200, Val F1: 0.9354
Epoch 20, Val loss: 0.2894, Val F1: 0.9058
Epoch 21, Val loss: 0.1878, Val F1: 0.9407
[I 2026-05-27 02:05:34,551] Trial 21 finished with value: 0.9432744484683303 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.37922496093288116, 'activation': 'gelu', 'lr': 0.0002525304864828032}. Best is trial 20 with value: 0.9463790633679082.
Epoch 1, Val loss: 0.5491, Val F1: 0.7892
Epoch 2, Val loss: 0.4911, Val F1: 0.8284
Epoch 3, Val loss: 0.4903, Val F1: 0.8191
Epoch 4, Val loss: 0.3384, Val F1: 0.8788
Epoch 5, Val loss: 0.3297, Val F1: 0.8792
Epoch 6, Val loss: 0.2680, Val F1: 0.9079
Epoch 7, Val loss: 0.3509, Val F1: 0.8789
Epoch 8, Val loss: 0.2430, Val F1: 0.9050
Epoch 9, Val loss: 0.3455, Val F1: 0.8861
Epoch 10, Val loss: 0.2163, Val F1: 0.9246
Epoch 11, Val loss: 0.2332, Val F1: 0.9219
Epoch 12, Val loss: 0.4042, Val F1: 0.8776
Epoch 13, Val loss: 0.2533, Val F1: 0.9161
Epoch 14, Val loss: 0.1661, Val F1: 0.9390
Epoch 15, Val loss: 0.2453, Val F1: 0.9195
Epoch 16, Val loss: 0.3345, Val F1: 0.8924
Epoch 17, Val loss: 0.3156, Val F1: 0.9055
Epoch 18, Val loss: 0.2617, Val F1: 0.9285
Epoch 19, Val loss: 0.6846, Val F1: 0.8316
[I 2026-05-27 02:06:09,426] Trial 22 finished with value: 0.939016593459483 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 256, 'dropout': 0.3776810281787366, 'activation': 'gelu', 'lr': 0.0002868137062036335}. Best is trial 20 with value: 0.9463790633679082.
Epoch 1, Val loss: 0.7677, Val F1: 0.7156
[I 2026-05-27 02:06:11,509] Trial 23 pruned. 
