=== Job started: Sun Jun  7 22:07:59 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:08:17,202] A new study created in memory with name: rgb
[I 2026-06-07 22:15:19,882] Trial 17 finished with value: 0.9342270105775261 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'multi_3_5_7_9', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'n_fc_layers': 5, 'fc_hidden': 512, 'dropout': 0.3788503702965206, 'activation': 'gelu', 'lr': 0.00013974584721672135}. Best is trial 17 with value: 0.9342270105775261.
Epoch 1, Val loss: 1.1532, Val F1: 0.5301
Epoch 2, Val loss: 0.7888, Val F1: 0.7082
Epoch 3, Val loss: 0.6350, Val F1: 0.7686
Epoch 4, Val loss: 0.5698, Val F1: 0.7915
Epoch 5, Val loss: 0.7915, Val F1: 0.7337
Epoch 6, Val loss: 0.5256, Val F1: 0.8148
Epoch 7, Val loss: 0.5683, Val F1: 0.8058
Epoch 8, Val loss: 0.4238, Val F1: 0.8372
Epoch 9, Val loss: 0.4552, Val F1: 0.8557
Epoch 10, Val loss: 0.6632, Val F1: 0.8014
Epoch 11, Val loss: 0.3504, Val F1: 0.8790
Epoch 12, Val loss: 0.8144, Val F1: 0.7768
Epoch 13, Val loss: 0.5094, Val F1: 0.8486
Epoch 14, Val loss: 0.3337, Val F1: 0.8903
Epoch 15, Val loss: 0.4776, Val F1: 0.8501
Epoch 16, Val loss: 0.5195, Val F1: 0.8478
Epoch 17, Val loss: 0.3699, Val F1: 0.8845
Epoch 18, Val loss: 0.4599, Val F1: 0.8643
Epoch 19, Val loss: 1.0738, Val F1: 0.7660
[I 2026-06-07 22:15:54,461] Trial 18 finished with value: 0.890312392594047 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'kernels_block_0': 'multi_3_5_7_9', 'kernels_block_1': 'multi_3_7', 'kernels_block_2': 'single_5', 'n_fc_layers': 6, 'fc_hidden': 512, 'dropout': 0.3940676921274522, 'activation': 'silu', 'lr': 0.00010674576588743566}. Best is trial 17 with value: 0.9342270105775261.
Epoch 1, Val loss: 1.6052, Val F1: 0.1879
[I 2026-06-07 22:15:56,345] Trial 19 pruned. 
Epoch 1, Val loss: 1.1124, Val F1: 0.5881
Epoch 2, Val loss: 0.8197, Val F1: 0.7012
[I 2026-06-07 22:16:00,359] Trial 20 pruned. 
Epoch 1, Val loss: 1.0278, Val F1: 0.6258
Epoch 2, Val loss: 1.8516, Val F1: 0.4302
[I 2026-06-07 22:16:04,128] Trial 21 pruned. 
Epoch 1, Val loss: 1.3012, Val F1: 0.4789
[I 2026-06-07 22:16:05,915] Trial 22 pruned. 
Epoch 1, Val loss: 1.7548, Val F1: 0.2989
[I 2026-06-07 22:16:09,051] Trial 23 pruned. 
Epoch 1, Val loss: 0.5834, Val F1: 0.7786
Epoch 2, Val loss: 0.4620, Val F1: 0.8315
Epoch 3, Val loss: 0.3938, Val F1: 0.8536
Epoch 4, Val loss: 0.5526, Val F1: 0.8064
Epoch 5, Val loss: 0.4249, Val F1: 0.8556
Epoch 6, Val loss: 0.2622, Val F1: 0.9066
Epoch 7, Val loss: 0.4909, Val F1: 0.8255
Epoch 8, Val loss: 0.3019, Val F1: 0.8948
Epoch 9, Val loss: 0.3908, Val F1: 0.8714
Epoch 10, Val loss: 1.0604, Val F1: 0.7561
Epoch 11, Val loss: 0.3779, Val F1: 0.8698
[I 2026-06-07 22:16:28,979] Trial 24 finished with value: 0.9065836315928919 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.3308580032423565, 'activation': 'gelu', 'lr': 0.0001678354449666571}. Best is trial 17 with value: 0.9342270105775261.
Epoch 1, Val loss: 3.6455, Val F1: 0.1891
[I 2026-06-07 22:16:30,786] Trial 25 pruned. 
Epoch 1, Val loss: 0.9216, Val F1: 0.6790
Epoch 2, Val loss: 1.4211, Val F1: 0.5615
[I 2026-06-07 22:16:34,999] Trial 26 pruned. 
Epoch 1, Val loss: 1.7485, Val F1: 0.2056
[I 2026-06-07 22:16:36,803] Trial 27 pruned. 
Epoch 1, Val loss: 1.7650, Val F1: 0.2389
[I 2026-06-07 22:16:38,604] Trial 28 pruned. 
Epoch 1, Val loss: 1.0183, Val F1: 0.6063
Epoch 2, Val loss: 2.7158, Val F1: 0.3826
[I 2026-06-07 22:16:42,353] Trial 29 pruned. 
Epoch 1, Val loss: 1.6305, Val F1: 0.2830
[I 2026-06-07 22:16:44,227] Trial 30 pruned. 
Epoch 1, Val loss: 0.5777, Val F1: 0.7880
Epoch 2, Val loss: 0.5663, Val F1: 0.7983
Epoch 3, Val loss: 0.4052, Val F1: 0.8582
Epoch 4, Val loss: 0.3472, Val F1: 0.8659
Epoch 5, Val loss: 0.4355, Val F1: 0.8380
Epoch 6, Val loss: 0.3547, Val F1: 0.8789
Epoch 7, Val loss: 0.3002, Val F1: 0.8945
Epoch 8, Val loss: 0.4862, Val F1: 0.8383
Epoch 9, Val loss: 0.4000, Val F1: 0.8517
Epoch 10, Val loss: 0.3157, Val F1: 0.8840
Epoch 11, Val loss: 0.2362, Val F1: 0.9244
Epoch 12, Val loss: 0.2384, Val F1: 0.9162
Epoch 13, Val loss: 0.2653, Val F1: 0.9091
Epoch 14, Val loss: 0.1890, Val F1: 0.9389
Epoch 15, Val loss: 0.2097, Val F1: 0.9303
Epoch 16, Val loss: 0.2071, Val F1: 0.9329
Epoch 17, Val loss: 0.2039, Val F1: 0.9301
Epoch 18, Val loss: 0.1745, Val F1: 0.9479
Epoch 19, Val loss: 0.2829, Val F1: 0.9163
Epoch 20, Val loss: 0.2583, Val F1: 0.9258
Epoch 21, Val loss: 0.5465, Val F1: 0.8537
Epoch 22, Val loss: 0.5297, Val F1: 0.8674
Epoch 23, Val loss: 0.2984, Val F1: 0.9098
[I 2026-06-07 22:17:25,167] Trial 31 finished with value: 0.9478749472255297 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.33462187649726105, 'activation': 'gelu', 'lr': 0.0001613629439543029}. Best is trial 31 with value: 0.9478749472255297.
Epoch 1, Val loss: 1.0878, Val F1: 0.6255
Epoch 2, Val loss: 1.7749, Val F1: 0.5001
[I 2026-06-07 22:17:28,757] Trial 32 pruned. 
Epoch 1, Val loss: 0.6773, Val F1: 0.7266
Epoch 2, Val loss: 0.5923, Val F1: 0.7925
Epoch 3, Val loss: 0.4573, Val F1: 0.8345
Epoch 4, Val loss: 0.6424, Val F1: 0.7907
Epoch 5, Val loss: 0.3617, Val F1: 0.8782
Epoch 6, Val loss: 0.3786, Val F1: 0.8723
Epoch 7, Val loss: 1.8605, Val F1: 0.5956
Epoch 8, Val loss: 0.4302, Val F1: 0.8465
Epoch 9, Val loss: 0.5347, Val F1: 0.8360
Epoch 10, Val loss: 0.4100, Val F1: 0.8747
[I 2026-06-07 22:17:46,527] Trial 33 finished with value: 0.8782458017428729 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_5', 'kernels_block_2': 'single_5', 'kernels_block_3': 'multi_3_5', 'n_fc_layers': 2, 'fc_hidden': 128, 'dropout': 0.3642043276437298, 'activation': 'gelu', 'lr': 0.00012920979694466125}. Best is trial 31 with value: 0.9478749472255297.
Epoch 1, Val loss: 0.9460, Val F1: 0.6654
Epoch 2, Val loss: 0.9036, Val F1: 0.6632
[I 2026-06-07 22:17:50,125] Trial 34 pruned. 
Epoch 1, Val loss: 0.7179, Val F1: 0.7322
Epoch 2, Val loss: 0.8795, Val F1: 0.6771
[I 2026-06-07 22:17:55,163] Trial 35 pruned. 
Epoch 1, Val loss: 1.3584, Val F1: 0.4437
[I 2026-06-07 22:17:56,928] Trial 36 pruned. 
Epoch 1, Val loss: 0.6187, Val F1: 0.7817
Epoch 2, Val loss: 0.5869, Val F1: 0.7805
Epoch 3, Val loss: 0.4078, Val F1: 0.8553
Epoch 4, Val loss: 0.2896, Val F1: 0.8998
Epoch 5, Val loss: 0.3198, Val F1: 0.8991
Epoch 6, Val loss: 0.2865, Val F1: 0.8995
Epoch 7, Val loss: 0.2645, Val F1: 0.9071
Epoch 8, Val loss: 0.2738, Val F1: 0.9040
Epoch 9, Val loss: 0.4367, Val F1: 0.8668
Epoch 10, Val loss: 0.1750, Val F1: 0.9413
Epoch 11, Val loss: 0.1848, Val F1: 0.9376
Epoch 12, Val loss: 0.2240, Val F1: 0.9263
Epoch 13, Val loss: 0.2861, Val F1: 0.9147
Epoch 14, Val loss: 0.1789, Val F1: 0.9441
Epoch 15, Val loss: 0.3277, Val F1: 0.9051
Epoch 16, Val loss: 0.3117, Val F1: 0.9091
Epoch 17, Val loss: 0.1825, Val F1: 0.9423
Epoch 18, Val loss: 0.1824, Val F1: 0.9418
Epoch 19, Val loss: 0.1983, Val F1: 0.9446
Epoch 20, Val loss: 0.3023, Val F1: 0.9189
Epoch 21, Val loss: 0.2260, Val F1: 0.9316
Epoch 22, Val loss: 0.2069, Val F1: 0.9378
Epoch 23, Val loss: 0.3001, Val F1: 0.9150
Epoch 24, Val loss: 0.3423, Val F1: 0.9000
