=== Job started: Wed May 27 02:04:47 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 02:04:53,725] A new study created in memory with name: ms
Epoch 27, Val loss: 0.1043, Val F1: 0.9714
Epoch 28, Val loss: 0.0880, Val F1: 0.9773
[I 2026-05-27 02:15:07,007] Trial 18 finished with value: 0.979331859184691 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.4280293772030521, 'activation': 'relu', 'lr': 0.00012969210345005846}. Best is trial 12 with value: 0.9804871595774749.
Epoch 1, Val loss: 0.3369, Val F1: 0.8899
[I 2026-05-27 02:15:09,536] Trial 19 pruned. 
Epoch 1, Val loss: 0.3369, Val F1: 0.8836
[I 2026-05-27 02:15:12,089] Trial 20 pruned. 
Epoch 1, Val loss: 0.2561, Val F1: 0.9159
Epoch 2, Val loss: 0.2380, Val F1: 0.9183
Epoch 3, Val loss: 0.1550, Val F1: 0.9474
Epoch 4, Val loss: 0.1473, Val F1: 0.9531
Epoch 5, Val loss: 0.1458, Val F1: 0.9516
Epoch 6, Val loss: 0.1219, Val F1: 0.9612
Epoch 7, Val loss: 0.1007, Val F1: 0.9671
Epoch 8, Val loss: 0.0995, Val F1: 0.9673
Epoch 9, Val loss: 0.1231, Val F1: 0.9586
Epoch 10, Val loss: 0.1101, Val F1: 0.9664
Epoch 11, Val loss: 0.0871, Val F1: 0.9702
Epoch 12, Val loss: 0.0941, Val F1: 0.9715
Epoch 13, Val loss: 0.0946, Val F1: 0.9705
Epoch 14, Val loss: 0.0887, Val F1: 0.9766
Epoch 15, Val loss: 0.1090, Val F1: 0.9627
Epoch 16, Val loss: 0.0988, Val F1: 0.9731
Epoch 17, Val loss: 0.1036, Val F1: 0.9714
Epoch 18, Val loss: 0.1030, Val F1: 0.9686
Epoch 19, Val loss: 0.1177, Val F1: 0.9685
[I 2026-05-27 02:16:01,498] Trial 21 finished with value: 0.9766183243947095 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.4025937913246769, 'activation': 'relu', 'lr': 0.00010305541994620937}. Best is trial 12 with value: 0.9804871595774749.
Epoch 1, Val loss: 0.2796, Val F1: 0.9030
Epoch 2, Val loss: 0.2123, Val F1: 0.9250
Epoch 3, Val loss: 0.1838, Val F1: 0.9363
[I 2026-05-27 02:16:09,387] Trial 22 pruned. 
Epoch 1, Val loss: 0.3575, Val F1: 0.8827
[I 2026-05-27 02:16:11,957] Trial 23 pruned. 
Epoch 1, Val loss: 0.2927, Val F1: 0.8983
[I 2026-05-27 02:16:14,488] Trial 24 pruned. 
Epoch 1, Val loss: 0.3949, Val F1: 0.8653
[I 2026-05-27 02:16:17,107] Trial 25 pruned. 
Epoch 1, Val loss: 0.3052, Val F1: 0.8944
[I 2026-05-27 02:16:19,670] Trial 26 pruned. 
Epoch 1, Val loss: 0.4341, Val F1: 0.8669
[I 2026-05-27 02:16:22,285] Trial 27 pruned. 
Epoch 1, Val loss: 0.4832, Val F1: 0.8317
[I 2026-05-27 02:16:24,850] Trial 28 pruned. 
Epoch 1, Val loss: 0.8628, Val F1: 0.6652
[I 2026-05-27 02:16:27,436] Trial 29 pruned. 
Epoch 1, Val loss: 0.2736, Val F1: 0.9121
Epoch 2, Val loss: 0.2092, Val F1: 0.9342
Epoch 3, Val loss: 0.1722, Val F1: 0.9405
Epoch 4, Val loss: 0.1448, Val F1: 0.9514
Epoch 5, Val loss: 0.2210, Val F1: 0.9225
Epoch 6, Val loss: 0.1006, Val F1: 0.9686
Epoch 7, Val loss: 0.1076, Val F1: 0.9639
Epoch 8, Val loss: 0.1307, Val F1: 0.9592
Epoch 9, Val loss: 0.0986, Val F1: 0.9682
Epoch 10, Val loss: 0.1216, Val F1: 0.9604
Epoch 11, Val loss: 0.0878, Val F1: 0.9735
Epoch 12, Val loss: 0.1035, Val F1: 0.9685
Epoch 13, Val loss: 0.0813, Val F1: 0.9715
