=== Job started: Thu May 28 16:56:36 CEST 2026 ===
Node:       rtx6000gpu1
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 16:59:16,043] A new study created in memory with name: ms
Epoch 23, Val loss: 0.1016, Val F1: 0.9720
Epoch 24, Val loss: 0.0975, Val F1: 0.9691
Epoch 25, Val loss: 0.0912, Val F1: 0.9749
Epoch 26, Val loss: 0.1046, Val F1: 0.9721
[I 2026-05-28 17:13:04,336] Trial 12 finished with value: 0.975298783288449 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.4790204983961076, 'activation': 'silu', 'lr': 0.00013559608187284903}. Best is trial 12 with value: 0.975298783288449.
Epoch 1, Val loss: 0.3715, Val F1: 0.8705
Epoch 2, Val loss: 0.2626, Val F1: 0.9158
Epoch 3, Val loss: 0.2781, Val F1: 0.9120
[I 2026-05-28 17:13:26,106] Trial 13 pruned. 
Epoch 1, Val loss: 0.4053, Val F1: 0.8660
[I 2026-05-28 17:13:31,380] Trial 14 pruned. 
Epoch 1, Val loss: 0.4468, Val F1: 0.8488
[I 2026-05-28 17:13:36,646] Trial 15 pruned. 
Epoch 1, Val loss: 0.7757, Val F1: 0.7220
[I 2026-05-28 17:13:41,696] Trial 16 pruned. 
Epoch 1, Val loss: 0.4087, Val F1: 0.8651
[I 2026-05-28 17:13:49,056] Trial 17 pruned. 
Epoch 1, Val loss: 0.8696, Val F1: 0.6496
[I 2026-05-28 17:13:56,012] Trial 18 pruned. 
Epoch 1, Val loss: 0.3899, Val F1: 0.8768
Epoch 2, Val loss: 0.2261, Val F1: 0.9321
Epoch 3, Val loss: 0.2404, Val F1: 0.9163
Epoch 4, Val loss: 0.1575, Val F1: 0.9499
Epoch 5, Val loss: 0.1495, Val F1: 0.9505
Epoch 6, Val loss: 0.2047, Val F1: 0.9348
Epoch 7, Val loss: 0.1495, Val F1: 0.9520
Epoch 8, Val loss: 0.1767, Val F1: 0.9375
Epoch 9, Val loss: 0.1085, Val F1: 0.9620
Epoch 10, Val loss: 0.1285, Val F1: 0.9595
Epoch 11, Val loss: 0.1202, Val F1: 0.9606
Epoch 12, Val loss: 0.1338, Val F1: 0.9602
Epoch 13, Val loss: 0.1077, Val F1: 0.9666
Epoch 14, Val loss: 0.1350, Val F1: 0.9595
Epoch 15, Val loss: 0.1431, Val F1: 0.9560
Epoch 16, Val loss: 0.1176, Val F1: 0.9651
Epoch 17, Val loss: 0.1361, Val F1: 0.9623
Epoch 18, Val loss: 0.1126, Val F1: 0.9717
Epoch 19, Val loss: 0.1187, Val F1: 0.9700
Epoch 20, Val loss: 0.1331, Val F1: 0.9617
Epoch 21, Val loss: 0.1269, Val F1: 0.9634
Epoch 22, Val loss: 0.1148, Val F1: 0.9680
Epoch 23, Val loss: 0.1410, Val F1: 0.9660
[I 2026-05-28 17:15:59,404] Trial 19 finished with value: 0.9717131920394072 and parameters: {'n_conv_blocks': 3, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.3533410463744395, 'activation': 'silu', 'lr': 0.00010355459575151963}. Best is trial 12 with value: 0.975298783288449.
Epoch 1, Val loss: 0.3670, Val F1: 0.8801
Epoch 2, Val loss: 0.3366, Val F1: 0.8902
[I 2026-05-28 17:16:05,885] Trial 20 pruned. 
Epoch 1, Val loss: 0.2964, Val F1: 0.9007
Epoch 2, Val loss: 0.2269, Val F1: 0.9291
Epoch 3, Val loss: 0.1957, Val F1: 0.9365
Epoch 4, Val loss: 0.2207, Val F1: 0.9284
Epoch 5, Val loss: 0.1599, Val F1: 0.9450
Epoch 6, Val loss: 0.1565, Val F1: 0.9478
Epoch 7, Val loss: 0.1318, Val F1: 0.9549
Epoch 8, Val loss: 0.1404, Val F1: 0.9546
Epoch 9, Val loss: 0.1246, Val F1: 0.9628
Epoch 10, Val loss: 0.1338, Val F1: 0.9560
Epoch 11, Val loss: 0.1402, Val F1: 0.9560
Epoch 12, Val loss: 0.1051, Val F1: 0.9652
Epoch 13, Val loss: 0.1299, Val F1: 0.9592
Epoch 14, Val loss: 0.1410, Val F1: 0.9578
Epoch 15, Val loss: 0.1360, Val F1: 0.9604
Epoch 16, Val loss: 0.1110, Val F1: 0.9660
Epoch 17, Val loss: 0.1108, Val F1: 0.9708
Epoch 18, Val loss: 0.1142, Val F1: 0.9690
Epoch 19, Val loss: 0.1321, Val F1: 0.9610
Epoch 20, Val loss: 0.1151, Val F1: 0.9679
Epoch 21, Val loss: 0.1100, Val F1: 0.9684
Epoch 22, Val loss: 0.0960, Val F1: 0.9708
[I 2026-05-28 17:18:01,883] Trial 21 finished with value: 0.9708343919511595 and parameters: {'n_conv_blocks': 3, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.34592969130937984, 'activation': 'silu', 'lr': 0.00010630658415704688}. Best is trial 12 with value: 0.975298783288449.
Epoch 1, Val loss: 0.4103, Val F1: 0.8638
[I 2026-05-28 17:18:09,198] Trial 22 pruned. 
Epoch 1, Val loss: 0.3922, Val F1: 0.8645
[I 2026-05-28 17:18:14,471] Trial 23 pruned. 
Epoch 1, Val loss: 0.3217, Val F1: 0.8904
Epoch 2, Val loss: 0.2236, Val F1: 0.9253
Epoch 3, Val loss: 0.1963, Val F1: 0.9325
Epoch 4, Val loss: 0.1723, Val F1: 0.9411
Epoch 5, Val loss: 0.1753, Val F1: 0.9432
Epoch 6, Val loss: 0.1587, Val F1: 0.9490
Epoch 7, Val loss: 0.1465, Val F1: 0.9523
Epoch 8, Val loss: 0.1643, Val F1: 0.9519
Epoch 9, Val loss: 0.1653, Val F1: 0.9510
[I 2026-05-28 17:18:42,719] Trial 24 pruned. 
Epoch 1, Val loss: 0.3966, Val F1: 0.8714
[I 2026-05-28 17:18:45,887] Trial 25 pruned. 
Epoch 1, Val loss: 0.4353, Val F1: 0.8570
[I 2026-05-28 17:18:51,262] Trial 26 pruned. 
Epoch 1, Val loss: 0.4285, Val F1: 0.8644
[I 2026-05-28 17:18:58,402] Trial 27 pruned. 
Epoch 1, Val loss: 0.7337, Val F1: 0.7333
[I 2026-05-28 17:19:01,195] Trial 28 pruned. 
Epoch 1, Val loss: 0.3855, Val F1: 0.8693
[I 2026-05-28 17:19:04,090] Trial 29 pruned. 
Epoch 1, Val loss: 0.5694, Val F1: 0.8177
Epoch 2, Val loss: 0.2596, Val F1: 0.9125
Epoch 3, Val loss: 0.4142, Val F1: 0.8708
Epoch 4, Val loss: 0.1742, Val F1: 0.9431
Epoch 5, Val loss: 0.2088, Val F1: 0.9325
Epoch 6, Val loss: 0.1373, Val F1: 0.9559
Epoch 7, Val loss: 0.1232, Val F1: 0.9573
Epoch 8, Val loss: 0.1997, Val F1: 0.9289
Epoch 9, Val loss: 0.1155, Val F1: 0.9627
Epoch 10, Val loss: 0.1100, Val F1: 0.9639
Epoch 11, Val loss: 0.1943, Val F1: 0.9376
Epoch 12, Val loss: 0.1114, Val F1: 0.9672
Epoch 13, Val loss: 0.1152, Val F1: 0.9649
Epoch 14, Val loss: 0.1421, Val F1: 0.9563
Epoch 15, Val loss: 0.1373, Val F1: 0.9538
Epoch 16, Val loss: 0.0898, Val F1: 0.9730
Epoch 17, Val loss: 0.1208, Val F1: 0.9601
Epoch 18, Val loss: 0.1302, Val F1: 0.9603
Epoch 19, Val loss: 0.0953, Val F1: 0.9708
Epoch 20, Val loss: 0.0794, Val F1: 0.9762
Epoch 21, Val loss: 0.0918, Val F1: 0.9703
Epoch 22, Val loss: 0.0885, Val F1: 0.9749
Epoch 23, Val loss: 0.1236, Val F1: 0.9606
Epoch 24, Val loss: 0.0891, Val F1: 0.9764
Epoch 25, Val loss: 0.0827, Val F1: 0.9773
Epoch 26, Val loss: 0.0902, Val F1: 0.9705
Epoch 27, Val loss: 0.0839, Val F1: 0.9762
Epoch 28, Val loss: 0.0979, Val F1: 0.9703
Epoch 29, Val loss: 0.0925, Val F1: 0.9736
Epoch 30, Val loss: 0.0872, Val F1: 0.9774
ms: best F1 = 0.9753, params = {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.4790204983961076, 'activation': 'silu', 'lr': 0.00013559608187284903}
=== Job finished: Thu May 28 17:22:54 CEST 2026 ===

###############################################################################
Hábrók Cluster
Job 29114330 for user s5964733
Finished at: Thu May 28 17:22:58 CEST 2026

Job details:
============

Job ID                         : 29114330
Name                           : tune_ms
User                           : s5964733
Partition                      : gpushort
Nodes                          : rtx6000gpu1
Number of Nodes                : 1
Cores                          : 8
Number of Tasks                : 1
State                          : COMPLETED  
Submit                         : 2026-05-28T16:54:40
Start                          : 2026-05-28T16:56:33
End                            : 2026-05-28T17:22:54
Reserved walltime              : 04:00:00
Used walltime                  : 00:26:21
Used CPU time                  : 01:02:20 (Efficiency: 29.57%)
% User (Computation)           : 81.30%
% System (I/O)                 : 18.71%
Total memory reserved          : 32G
Maximum memory used            : 7.62G
Requested GPUs                 : rtx_pro_6000=1
Allocated GPUs                 : rtx_pro_6000=1
Max GPU utilization            : 96%
Max GPU memory used            : 2.94G

Acknowledgements:
=================

Please see this page for information about acknowledging Hábrók in your publications:

https://wiki.hpc.rug.nl/habrok/introduction/scientific_output

################################################################################
